Year,July,August,September,October,November,December,January,February,March,April,May,June,Season
2023-2024,0,T,0,2.7,0.5,2.1,2,7,T*,M,M,M,M
2022-2023,0,0,0,0.4,13,19.8,22.3,15.5,15.5,3.8,0,0,90.3
2021-2022,0,0,0,0,1.2,21.5,10.5,10.3,5.1,1.6,T,0,50.2
2020-2021,0,T,0,9.3,8.8,12.4,7.8,5.9,4,0.5,0,0,48.7
2019-2020,0,0,0,T,14.3,11.3,9.8,7.5,1.3,7.3,0,0,51.5
2018-2019,0,0,0,0.3,4,6.7,6.8,39,10.5,9.8,T,0,77.1
2017-2018,0,0,0,0.1,0.6,6.4,20.4,15.9,8.8,26.1,0,0,78.3
2016-2017,0,0,T,0,2.3,15.8,8.4,0.3,4.7,0.5,T,T,32
2015-2016,0,0,0,T,5.1,9.5,4.1,12.1,5.4,0.5,0,0,36.7
2014-2015,0,0,0,0,9.4,5.6,5.4,4.9,6.8,0.3,0,0,32.4
2013-2014,0,T,0,T,1.1,15.9,22.7,18.4,4.7,7,0,0,69.8
2012-2013,T,0,0,T,0.8,15,4.6,15.1,13.8,17.9,0.5,T,67.7
2011-2012,0,0,0,0,3,7.3,4.6,6.1,1.3,T,T,0,22.3
2010-2011,0,0,T,T,9.8,33.6,17,16.1,8.2,1.9,T,0,86.6
2009-2010,0,0,0,2.8,T,20.9,3.1,13.9,0,0,T,T,40.7
2008-2009,T,0,0,T,4.3,17.4,8.4,10.9,1.5,2.5,0,0,45
2007-2008,T,T,T,0,0.4,18.1,2,4.8,18,1.6,T,0,44.9
2006-2007,0,0,0,T,0.2,4.3,5.5,12.6,11,1.9,0,0,35.5
2005-2006,0,0,0,T,5.1,14.5,2.3,2.1,20.4,T,0,0,44.4
2004-2005,0,0,0,T,0.5,1.8,8.6,8,6.6,T,T,0,25.5
2003-2004,0,0,0,T,9.4,16.1,10.7,19.7,10.4,T,0,0,66.3
2002-2003,0,0,0,0.6,1.4,3,5.1,10.7,13.2,1,0,0,35
2001-2002,0,0,0,0.1,9.4,8,9.5,3.1,15.7,20.2,0,0,66
2000-2001,0,0,0,0,9.8,30.2,9.4,16.5,8.6,1.3,0,0,75.8
1999-2000,0,0,0,T,0.7,7.3,18.2,7.7,1,1.3,0,0,36.2
1998-1999,0,0,T,0,0.1,3.1,33.1,4.2,16,T,0,0,56.5
1997-1998,T,0,0,T,8.6,3.3,20.4,1.1,11.6,T,T,T,45
1996-1997,0,0,0,T,16.8,23.7,14.2,4,14.3,0.6,T,T,73.6
1995-1996,0,0,T,0.7,6.6,16.1,14.5,1.2,14.1,2.3,T,0,55.5
1994-1995,T,0,0,T,6.2,6.5,4.2,2.1,10.4,0.2,0,T,29.6
1993-1994,T,0,0,T,7.7,4.5,24.3,12,1.7,5.5,0,T,55.7
1992-1993,0,T,T,1.3,12.2,9.2,12,5.3,6.9,0.5,0,0,47.4
1991-1992,0,T,0,8.2,46.9,6.7,5,5.9,10.8,0.6,0,0,84.1
1990-1991,0,0,0,T,5,11.7,6.5,14.2,4.4,1.5,0.3,0,43.6
1989-1990,0,0,0,0,11.3,7,1.1,10.7,3.2,2.2,0,0,35.5
1988-1989,0,0,0,0.2,15.8,7.2,6,17.3,22.7,0.8,0.1,T,70.1
1987-1988,0,0,0,0.3,4.5,7.5,19.5,4.5,3.7,2.4,0,0,42.4
1986-1987,0,0,0,T,4.4,4.2,5.5,1.2,2.1,T,0,0,17.4
1985-1986,0,0,0.4,T,23.9,13.5,10.3,12.3,8.7,0.4,0,0,69.5
1984-1985,0,0,0,0.3,2,16.3,13.1,4.2,36.8,T,0,0,72.7
1983-1984,0,0,0,T,30.4,21,10.8,9.3,17.3,9.8,0,0,98.6
1982-1983,0,0,0,1.4,3.6,19.3,3.2,10.8,14.3,21.8,0,0,74.4
1981-1982,0,0,0,0.9,14,10.6,46.4,7.4,10.9,4.8,0,0,95
1980-1981,0,0,0,T,0.9,2.8,4.6,11,0.1,1.7,0,0,21.1
